2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59606      LSD1 > are you kurwa debil?
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59606      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59606      LSD1 > asdasdasd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59606      LSD1 > asdasdsad
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59606      LSD1 > asdsadasdsa
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59606      LSD1 > dsadasdsa
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59606      LSD1 > dsadsadad
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59606      LSD1 > asdasdad
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59606      LSD1 has left the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59652      LSD1 has join the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59652      LSD1 > hi
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59652      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59652      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59652      LSD1 has left the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59694      LSD1 has join the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59694      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59694      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59694      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59694      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59694      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59694      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59694      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59694      LSD1 > a
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59694      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59694      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59694      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59694      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59694      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59694      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59694      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59694      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59694      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59694      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59694      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59694      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59694      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59694      LSD1 has left the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59703      LSD1 has join the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59703      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59703      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59703      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59703      LSD1 has left the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59707      LSD1 has join the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59707      LSD1 has left the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59715      LSD1 has join the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59715      LSD1 > as
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59715      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59715      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59715      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59715      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59715      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59715      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59715      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59715      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59715      LSD1 > a
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59715      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59715      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59715      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59715      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59715      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59715      LSD1 has left the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59715      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59734      LSD1 has join the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59734      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59734      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59734      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59734      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59734      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59734      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59734      LSD1 > aasd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59734      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59734      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59734      LSD1 has left the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59989      LSD1 has join the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59989      LSD1 > hello
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59989      LSD1 > hi
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59989      LSD1 > hello
